127.0.0.1 - - [11/Nov/2022:17:57:34 -0600] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Nov/2022:17:57:34 -0600] "GET /project3/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:17:57:34 -0600] "GET /project3/giphy.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:17:58:03 -0600] "GET /project3/DataServlet?userNameParameter=md&passwordParameter=pw&loginCheck=Login HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [11/Nov/2022:17:58:10 -0600] "GET /project3/DataServlet?userName=md&maintenanceModeButton=Maintenance+Mode HTTP/1.1" 200 114831
0:0:0:0:0:0:0:1 - - [11/Nov/2022:17:58:17 -0600] "GET /project3/DataServlet?userName=md&weeks=2022-09-04&getShowsButton=Get+Show+List HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [11/Nov/2022:17:58:27 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Collateral&editShowButton=Edit+show HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [11/Nov/2022:17:58:46 -0600] "GET /project3/DataServlet?weekTextParameter=New+wekk&categoryTextParameter=&rankTextParameter=30&titleTextParameter=&seasonTextParameter=&hrsViewedTextParameter=new+hrs&wksTop10TextParameter=&editItemsButton=Edit+Selected+Items HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [11/Nov/2022:17:59:04 -0600] "GET /project3/DataServlet?editWeekCheckbox=weekCheckbox&weekTextParameter=New+wekk&categoryTextParameter=&editRankCheckbox=rankCheckbox&rankTextParameter=30&titleTextParameter=&seasonTextParameter=&editHrsViewedCheckbox=hrsViewedCheckbox&hrsViewedTextParameter=new+hrs&wksTop10TextParameter=&editItemsButton=Edit+Selected+Items HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [11/Nov/2022:17:59:27 -0600] "GET /project3/DataServlet?userName=md&subscriberModeButton=Subscriber+Mode HTTP/1.1" 200 141579
0:0:0:0:0:0:0:1 - - [11/Nov/2022:17:59:39 -0600] "GET /project3/DataServlet?userName=md&shows=Purple+Hearts&watchShowButton=Watch+Show%21 HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [11/Nov/2022:17:59:39 -0600] "GET /project3/intro.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:03:20 -0600] "GET /project3/DataServlet?userNameParameter=md&passwordParameter=pw&loginCheck=Login HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:03:22 -0600] "GET /project3/DataServlet?userName=md&maintenanceModeButton=Maintenance+Mode HTTP/1.1" 200 114827
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:03:24 -0600] "GET /project3/DataServlet?userName=md&weeks=2022-09-04&getShowsButton=Get+Show+List HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:03:26 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:04:53 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:07:36 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:08:06 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:08:42 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:09:20 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:09:43 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:14:13 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:16:20 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:17:25 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:18:13 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1826
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:20:55 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:21:28 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:22:01 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:23:38 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:23:40 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:24:58 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:27:13 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:30:41 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:32:23 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:33:08 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:33:53 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1774
